date,cases,deaths
2020-01-21,1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,2,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,10,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,2,0
2020-02-21,3,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,13,0
2020-02-25,2,0
2020-02-26,15,0
2020-02-27,0,0
2020-02-28,5,0
2020-02-29,5,1
2020-03-01,18,2
2020-03-02,16,3
2020-03-03,21,4
2020-03-04,36,2
2020-03-05,67,0
2020-03-06,83,3
2020-03-07,117,4
2020-03-08,119,3
2020-03-09,201,4
2020-03-10,270,5
2020-03-11,245,6
2020-03-12,405,6
2020-03-13,556,7
2020-03-14,674,10
2020-03-15,702,8
2020-03-16,907,23
2020-03-17,1399,26
2020-03-18,2444,45
2020-03-19,4043,50
2020-03-20,5619,65
2020-03-21,6516,83
2020-03-22,8545,98
2020-03-23,10432,121
2020-03-24,10433,206
2020-03-25,14634,269
2020-03-26,16998,299
2020-03-27,17330,417
2020-03-28,21066,530
2020-03-29,18520,418
2020-03-30,21469,650
2020-03-31,24506,936
2020-04-01,26930,1021
2020-04-02,29717,1216
2020-04-03,32318,1391
2020-04-04,35099,1556
2020-04-05,25616,1368
2020-04-06,30916,1526
2020-04-07,30337,2234
2020-04-08,31820,2085
2020-04-09,34699,2120
2020-04-10,33473,2263
2020-04-11,31720,2084
2020-04-12,27143,1681
2020-04-13,25769,1764
2020-04-14,26691,2705
2020-04-15,30033,2752
2020-04-16,31613,2349
2020-04-17,31509,2289
2020-04-18,28398,1951
2020-04-19,25334,1520
2020-04-20,27395,1837
2020-04-21,25514,2672
2020-04-22,28831,2371
2020-04-23,33776,2169
2020-04-24,36741,2132
2020-04-25,34408,1967
2020-04-26,26735,1253
2020-04-27,23197,1442
2020-04-28,24651,2394
2020-04-29,26555,2514
2020-04-30,30357,2210
2020-05-01,33970,1762
2020-05-02,29474,1583
2020-05-03,26140,1331
2020-05-04,21962,1089
2020-05-05,23709,2234
2020-05-06,24506,2708
2020-05-07,28478,1958
2020-05-08,27648,1575
2020-05-09,24868,1454
2020-05-10,20317,932
2020-05-11,17621,982
2020-05-12,22300,1652
2020-05-13,21145,1768
2020-05-14,26962,1738
2020-05-15,26237,1593
2020-05-16,23659,1225
2020-05-17,19014,844
2020-05-18,21827,846
2020-05-19,20977,1520
2020-05-20,23070,1477
2020-05-21,25733,1311
2020-05-22,23799,1288
2020-05-23,22268,1050
2020-05-24,20031,620
2020-05-25,19100,510
2020-05-26,18896,747
2020-05-27,18744,1485
2020-05-28,22512,1200
2020-05-29,24548,1190
2020-05-30,23397,963
2020-05-31,20634,604
2020-06-01,21897,734
2020-06-02,20791,1082
2020-06-03,19987,989
2020-06-04,21616,1008
2020-06-05,28709,1112
2020-06-06,22516,728
2020-06-07,18616,390
2020-06-08,18207,722
2020-06-09,18805,1030
2020-06-10,22852,929
2020-06-11,23202,877
2020-06-12,25493,779
2020-06-13,25334,692
2020-06-14,19130,317
2020-06-15,20117,448
2020-06-16,24885,769
2020-06-17,25655,761
2020-06-18,28059,727
2020-06-19,30836,698
2020-06-20,32025,546
2020-06-21,26379,257
2020-06-22,30466,360
2020-06-23,35060,833
2020-06-24,36989,767
2020-06-25,41173,2466
2020-06-26,45528,633
2020-06-27,42299,511
2020-06-28,39508,271
2020-06-29,39496,347
2020-06-30,48389,1300
2020-07-01,49975,642
2020-07-02,55559,723
2020-07-03,57154,591
2020-07-04,50006,261
2020-07-05,44767,262
2020-07-06,47316,391
2020-07-07,54084,958
2020-07-08,59455,948
2020-07-09,59889,841
2020-07-10,68227,828
2020-07-11,60721,675
2020-07-12,57805,395
2020-07-13,61567,425
2020-07-14,65602,954
2020-07-15,68342,971
2020-07-16,75687,958
2020-07-17,70923,901
2020-07-18,62451,775
2020-07-19,62275,412
2020-07-20,59888,531
2020-07-21,65277,1127
2020-07-22,69739,1136
2020-07-23,70006,1116
2020-07-24,73525,1146
2020-07-25,66776,884
2020-07-26,54217,440
2020-07-27,59181,1696
2020-07-28,63116,1327
2020-07-29,66782,1396
2020-07-30,68948,1261
2020-07-31,69088,1429
2020-08-01,56828,1055
2020-08-02,50794,420
2020-08-03,47484,608
2020-08-04,53549,1356
2020-08-05,53723,1253
2020-08-06,57514,1071
2020-08-07,61157,1356
2020-08-08,55240,966
2020-08-09,48480,539
2020-08-10,47173,537
2020-08-11,53357,1451
2020-08-12,54278,1478
2020-08-13,54061,1213
2020-08-14,59477,1176
2020-08-15,50743,1059
2020-08-16,42137,514
2020-08-17,37523,535
2020-08-18,43233,1349
2020-08-19,43013,1295
2020-08-20,46029,1043
2020-08-21,49029,1161
2020-08-22,45026,950
2020-08-23,32333,446
2020-08-24,40404,504
2020-08-25,39183,1213
2020-08-26,45319,1193
2020-08-27,45612,1126
2020-08-28,46564,1010
2020-08-29,44609,871
2020-08-30,33429,374
2020-08-31,36487,488
2020-09-01,44049,1091
2020-09-02,32444,1076
2020-09-03,46397,1078
2020-09-04,52101,980
2020-09-05,42253,712
2020-09-06,29995,411
2020-09-07,25165,263
2020-09-08,28946,458
2020-09-09,33332,1175
2020-09-10,38061,915
2020-09-11,47567,1227
2020-09-12,39104,701
2020-09-13,33343,399
2020-09-14,36887,450
2020-09-15,39217,1281
2020-09-16,39268,997
2020-09-17,45310,849
2020-09-18,48887,949
2020-09-19,41811,670
2020-09-20,36356,213
2020-09-21,54952,430
2020-09-22,37391,941
2020-09-23,41549,1090
2020-09-24,45204,885
2020-09-25,54581,853
2020-09-26,42695,769
2020-09-27,37298,267
2020-09-28,37360,350
2020-09-29,43697,926
2020-09-30,42058,974
2020-10-01,46418,847
2020-10-02,53580,865
2020-10-03,47779,709
2020-10-04,35063,333
2020-10-05,62413,429
2020-10-06,42862,721
2020-10-07,53017,996
2020-10-08,56382,928
2020-10-09,58962,915
2020-10-10,51648,592
2020-10-11,44783,419
2020-10-12,48016,351
2020-10-13,54393,826
2020-10-14,59852,1009
2020-10-15,65354,793
2020-10-16,70464,891
2020-10-17,52761,678
2020-10-18,47882,387
2020-10-19,65440,517
2020-10-20,60594,929
2020-10-21,64237,1208
2020-10-22,75130,828
2020-10-23,85297,930
2020-10-24,78579,872
2020-10-25,59715,339
2020-10-26,74638,537
2020-10-27,74387,983
2020-10-28,81882,1018
2020-10-29,90669,1004
2020-10-30,99868,968
2020-10-31,84207,838
2020-11-01,74195,428
2020-11-02,94006,540
2020-11-03,92416,1130
2020-11-04,108078,1616
2020-11-05,121349,1108
2020-11-06,132823,1248
2020-11-07,125931,1007
2020-11-08,103413,464
2020-11-09,130449,745
2020-11-10,139750,1464
2020-11-11,142878,1431
2020-11-12,163651,1172
2020-11-13,181496,1390
2020-11-14,159033,1210
2020-11-15,135186,623
2020-11-16,166563,796
2020-11-17,161631,1607
2020-11-18,172280,1924
2020-11-19,187508,1961
2020-11-20,198859,1957
2020-11-21,171933,1425
2020-11-22,140794,843
2020-11-23,179623,1038
2020-11-24,177858,2209
2020-11-25,180590,2313
2020-11-26,102994,1178
2020-11-27,205839,1412
2020-11-28,151408,1192
2020-11-29,136122,818
2020-11-30,167658,1270
2020-12-01,184228,2608
2020-12-02,201172,2886
2020-12-03,217738,2856
2020-12-04,231368,2637
2020-12-05,205708,2190
2020-12-06,171921,1111
2020-12-07,204523,1534
2020-12-08,219714,2821
2020-12-09,219716,3156
2020-12-10,225225,2941
2020-12-11,280513,2955
2020-12-12,207532,2255
2020-12-13,184219,1357
2020-12-14,200885,1678
2020-12-15,203153,3025
2020-12-16,244827,3611
2020-12-17,237709,3298
2020-12-18,251190,2870
2020-12-19,193905,2561
2020-12-20,179911,1429
2020-12-21,201518,1963
2020-12-22,201637,3239
2020-12-23,227763,3412
2020-12-24,193511,2824
2020-12-25,100931,1129
2020-12-26,216861,1646
2020-12-27,152089,1230
2020-12-28,189010,1899
2020-12-29,201030,3628
2020-12-30,228949,3808
2020-12-31,231024,3462
2021-01-01,147248,1920
2021-01-02,291610,2373
2021-01-03,201780,1351
2021-01-04,251830,2049
2021-01-05,235016,3689
2021-01-06,255966,3964
2021-01-07,280334,4113
2021-01-08,300777,3895
2021-01-09,251919,3259
2021-01-10,208295,1777
2021-01-11,226316,2048
2021-01-12,229977,4406
2021-01-13,229325,3930
2021-01-14,239522,3980
2021-01-15,239853,3749
2021-01-16,202193,3341
2021-01-17,170094,1730
2021-01-18,141133,1441
2021-01-19,186944,2771
2021-01-20,185488,4380
2021-01-21,190482,4135
2021-01-22,191565,3731
2021-01-23,167917,3322
2021-01-24,129676,1815
2021-01-25,156576,1907
2021-01-26,150638,4098
2021-01-27,155770,4102
2021-01-28,166175,3868
2021-01-29,164615,3600
2021-01-30,133800,2641
2021-01-31,113795,1864
2021-02-01,141854,1950
2021-02-02,115256,3611
2021-02-03,120183,3843
2021-02-04,125636,5117
2021-02-05,129501,3570
2021-02-06,104947,2662
2021-02-07,87281,1301
2021-02-08,92982,1583
2021-02-09,96390,3170
2021-02-10,94975,3254
2021-02-11,105640,3878
2021-02-12,99627,5463
2021-02-13,84652,3372
2021-02-14,63780,1081
2021-02-15,55272,994
2021-02-16,64540,1707
2021-02-17,70161,2471
2021-02-18,71791,2625
2021-02-19,78012,2621
2021-02-20,69720,1831
2021-02-21,55180,1247
2021-02-22,59466,1454
2021-02-23,71913,2328
2021-02-24,74194,3210
2021-02-25,77881,2465
2021-02-26,78318,2176
2021-02-27,62674,1567
2021-02-28,50905,1129
2021-03-01,56696,1425
2021-03-02,57644,1306
2021-03-03,66612,2369
2021-03-04,67282,1949
2021-03-05,65695,2483
2021-03-06,56585,1459
2021-03-07,40064,676
2021-03-08,94513,820
2021-03-09,55899,1885
2021-03-10,58195,1474
2021-03-11,62387,1524
2021-03-12,64166,1705
2021-03-13,49557,1874
2021-03-14,37989,569
2021-03-15,57164,749
2021-03-16,54531,1245
2021-03-17,58931,1177
2021-03-18,60470,1558
2021-03-19,60623,1514
2021-03-20,54425,772
2021-03-21,34193,448
2021-03-22,54716,648
2021-03-23,56746,893
2021-03-24,79903,1590
2021-03-25,69116,1270
2021-03-26,74499,1260
2021-03-27,60700,780
2021-03-28,44515,490
2021-03-29,70739,685
2021-03-30,62234,947
2021-03-31,67936,1135
2021-04-01,77193,957
2021-04-02,68589,956
2021-04-03,64136,753
2021-04-04,36823,272
2021-04-05,76594,530
2021-04-06,61972,909
2021-04-07,73090,2571
2021-04-08,80458,1002
2021-04-09,81582,946
2021-04-10,64758,704
2021-04-11,47977,301
2021-04-12,71932,465
2021-04-13,77321,983
2021-04-14,75750,935
2021-04-15,73694,917
2021-04-16,78354,935
2021-04-17,53874,677
2021-04-18,41399,358
2021-04-19,70260,485
2021-04-20,61024,832
2021-04-21,62495,840
2021-04-22,66241,911
2021-04-23,63784,873
2021-04-24,50468,725
2021-04-25,33591,282
2021-04-26,47335,479
2021-04-27,51877,713
2021-04-28,54818,934
2021-04-29,57582,874
2021-04-30,58517,860
2021-05-01,44759,715
2021-05-02,29632,312
2021-05-03,49944,459
2021-05-04,40955,907
2021-05-05,44719,776
2021-05-06,47694,832
2021-05-07,47493,812
2021-05-08,33666,604
2021-05-09,22328,246
2021-05-10,36557,370
2021-05-11,34041,693
2021-05-12,35483,848
2021-05-13,38439,780
2021-05-14,40981,732
2021-05-15,29050,559
2021-05-16,16710,292
2021-05-17,29207,384
2021-05-18,27863,867
2021-05-19,28794,675
2021-05-20,29618,654
2021-05-21,29011,696
2021-05-22,18316,479
2021-05-23,14150,189
2021-05-24,25628,417
2021-05-25,22838,700
2021-05-26,23386,966
2021-05-27,27747,1341
2021-05-28,22024,759
2021-05-29,11560,339
2021-05-30,7442,131
2021-05-31,5503,150
2021-06-01,22714,520
2021-06-02,16858,594
2021-06-03,19469,616
2021-06-04,0,139
2021-06-05,10448,375
2021-06-06,6153,252
2021-06-07,19451,336
2021-06-08,14184,375
2021-06-09,20663,572
2021-06-10,15796,460
2021-06-11,16825,517
2021-06-12,8278,170
2021-06-13,6787,95
2021-06-14,15119,210
2021-06-15,11872,452
2021-06-16,14406,424
2021-06-17,12187,288
2021-06-18,12715,469
2021-06-19,7579,169
2021-06-20,4063,90
2021-06-21,15844,288
2021-06-22,12762,432
2021-06-23,14027,398
2021-06-24,14691,355
2021-06-25,14963,458
2021-06-26,6789,126
2021-06-27,4087,96
2021-06-28,15548,161
2021-06-29,15729,379
2021-06-30,15973,323
2021-07-01,16505,247
2021-07-02,20669,266
2021-07-03,4690,86
2021-07-04,3491,37
2021-07-05,5207,41
2021-07-06,23688,317
2021-07-07,32417,322
2021-07-08,23103,366
2021-07-09,35172,407
2021-07-10,8891,88
2021-07-11,6283,30
2021-07-12,32794,273
2021-07-13,41713,432
2021-07-14,37841,393
2021-07-15,35605,338
2021-07-16,51890,357
2021-07-17,13000,83
2021-07-18,9527,37
2021-07-19,55828,231
2021-07-20,62484,300
2021-07-21,61939,397
2021-07-22,63711,362
2021-07-23,82505,443
2021-07-24,22472,101
2021-07-25,14637,49
